이름,API 분류,태그
MemberJoinReq,API Request,Member
MemberUpdateProfileReq,API Response,Member
LoginTokenRes,API Response,Member
LoginTokenDto,API Response,Member
PointHistorySimpleRes,API Response,Member
PointHistoryListPage,API Response,Member
MemberReviewReq,API Response,Review
ReviewSimpleRes,API Response,Review
ReviewListPage,API Response,Review
MemberProfileRes,API Response,Profile
MemberProfileRes,API Response,Profile
DTO Template,API Response,
PurchaseReq,API Response,구매
PurchaseRes,API Request,구매
PurchaseListPage,API Response,구매
PurchaseSimpleRes,API Response,구매
BidRes,API Response,판매
SaleReq,API Response,판매
SaleRes,API Response,판매
SaleSimpleRes,API Response,판매
SaleListRes,API Response,판매
SaleChatRes,API Response,판매
SaleChatRes,API Response,판매
SaleChatList,API Response,판매
DealRes,DTO,거래(공통)
DealReq,API Response,거래(공통)
DealSimpleRes,API Response,거래(공통)
DealResWithEndPrice,API Response,거래(공통)
ChatRes,API Response,채팅
ChatRoomList,API Response,채팅
ChatList,API Response,채팅
Chat,API Response,채팅
PointChargeReq,API Response,Payment
PaymentRes,API Response,Payment
LiveRoomReq,API Response,Live
LiveResultReq,API Response,Live
LiveRecordingRes,API Response,Live
Video,API Response,Live